CounterExamples_0,Specificity_0,PRev_0,Pos_0,VarDist_0,RuleDist_0,PlanDist_0,CounterExamples_1,Specificity_1,PRev_1,Pos_1,VarDist_1,RuleDist_1,PlanDist_1,CounterExamples_2,Specificity_2,PRev_2,Pos_2,VarDist_2,RuleDist_2,PlanDist_2,CounterExamples_3,Specificity_3,PRev_3,Pos_3,VarDist_3,RuleDist_3,PlanDist_3,CounterExamples_4,Specificity_4,PRev_4,Pos_4,VarDist_4,RuleDist_4,PlanDist_4,CounterExamples_5,Specificity_5,PRev_5,Pos_5,VarDist_5,RuleDist_5,PlanDist_5,CounterExamples_6,Specificity_6,PRev_6,Pos_6,VarDist_6,RuleDist_6,PlanDist_6,CounterExamples_7,Specificity_7,PRev_7,Pos_7,VarDist_7,RuleDist_7,PlanDist_7,CounterExamples_8,Specificity_8,PRev_8,Pos_8,VarDist_8,RuleDist_8,PlanDist_8,CounterExamples_9,Specificity_9,PRev_9,Pos_9,VarDist_9,RuleDist_9,PlanDist_9,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,
0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,1,45,-1,1,-1,76,-1,1,45,-1,1,-1,87.8571,-1,1,41,-1,1,-1,87.5714,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,
1,47,-1,1,-1,88,-1,1,43,-1,1,-1,88,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,1,45,-1,0,-1,76,-1,1,45,-1,0,-1,87.8571,-1,1,41,-1,0,-1,87.5714,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,1,45,-1,1,-1,87.8571,-1,
2,4,-1,1,0.92,85.7143,1,1,43,-1,0,1,88,1,1,41,-1,1,1,75.4286,1,1,43,-1,1,1,87.7143,1,1,45,-1,0,1,76,1,2,45,-1,1,0.9975,63.8571,1,1,41,-1,0,1,87.5714,1,0,-nan(ind),-1,0,1,100,1,0,-nan(ind),-1,0,1,100,1,2,21,-1,1,1,87.1429,1,
2,4,-1,0,-1,85.7143,-1,2,44,-1,1,-1,64,-1,1,41,-1,0,-1,75.4286,-1,2,43,-1,1,-1,63.4286,-1,2,45,-1,1,-1,64.1429,-1,2,45,-1,0,-1,63.8571,-1,1,41,-1,0,-1,87.5714,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,3,33,-1,1,-1,63.1429,-1,
3,25.5,-1,1,-1,73.7143,-1,2,44,-1,0,-1,64,-1,1,41,-1,0,-1,75.4286,-1,2,43,-1,0,-1,63.4286,-1,3,45.6667,-1,1,-1,40.4286,-1,2,45,-1,0,-1,63.8571,-1,1,41,-1,0,-1,87.5714,-1,1,41,-1,1,-1,87.5714,-1,0,-nan(ind),-1,0,-1,100,-1,4,16.5,-1,1,-1,60.2857,-1,
4,32.6667,0.826726,1,-1,50,-1,2,44,-1,0,-1,64,-1,1,41,-1,0,-1,75.4286,-1,2,43,-1,0,-1,63.4286,-1,3,45.6667,-1,0,-1,40.4286,-1,3,30.5,-1,1,-1,61,-1,2,41,-1,1,-1,75.1429,-1,2,41,-1,1,-1,75.4286,-1,0,-nan(ind),-1,0,-1,100,-1,4,16.5,-1,0,-1,60.2857,-1,
4,32.6667,-1,0,-1,50,-1,2,44,-1,0,-1,64,-1,2,41,-1,1,-1,63.2857,-1,3,27,0.715816,1,-1,61.8571,-1,4,45.5,-1,1,-1,28.2857,-1,3,30.5,-1,0,-1,61,-1,2,41,-1,0,-1,75.1429,-1,2,41,-1,0,-1,75.4286,-1,0,-nan(ind),-1,0,-1,100,-1,4,16.5,0.510422,0,-1,60.2857,-1,
