CounterExamples_0,Specificity_0,PRev_0,Pos_0,VarDist_0,RuleDist_0,PlanDist_0,CounterExamples_1,Specificity_1,PRev_1,Pos_1,VarDist_1,RuleDist_1,PlanDist_1,CounterExamples_2,Specificity_2,PRev_2,Pos_2,VarDist_2,RuleDist_2,PlanDist_2,CounterExamples_3,Specificity_3,PRev_3,Pos_3,VarDist_3,RuleDist_3,PlanDist_3,CounterExamples_4,Specificity_4,PRev_4,Pos_4,VarDist_4,RuleDist_4,PlanDist_4,CounterExamples_5,Specificity_5,PRev_5,Pos_5,VarDist_5,RuleDist_5,PlanDist_5,CounterExamples_6,Specificity_6,PRev_6,Pos_6,VarDist_6,RuleDist_6,PlanDist_6,CounterExamples_7,Specificity_7,PRev_7,Pos_7,VarDist_7,RuleDist_7,PlanDist_7,CounterExamples_8,Specificity_8,PRev_8,Pos_8,VarDist_8,RuleDist_8,PlanDist_8,CounterExamples_9,Specificity_9,PRev_9,Pos_9,VarDist_9,RuleDist_9,PlanDist_9,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,
1,47,-1,1,-1,76.2857,-1,1,43,-1,1,-1,87.7143,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,1,45,-1,1,-1,87.8571,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,
2,46,-1,1,-1,64.1429,-1,1,43,-1,0,-1,87.7143,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,2,6,-1,1,-1,85.7143,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,1,45,-1,1,-1,88.1429,-1,
3,45.6667,-1,1,1,52,1,1,43,-1,0,1,87.7143,1,0,-nan(ind),-1,0,1,100,1,1,43,-1,1,1,87.7143,1,0,-nan(ind),-1,0,1,100,1,2,6,-1,0,0.905,85.7143,1,0,-nan(ind),-1,0,1,100,1,0,-nan(ind),-1,0,1,100,1,0,-nan(ind),-1,0,1,100,1,1,45,-1,0,1,88.1429,1,
3,45.6667,-1,0,-1,52,-1,1,43,-1,0,-1,87.7143,-1,1,41,-1,1,-1,87.8571,-1,2,43,-1,1,-1,63.4286,-1,1,45,-1,1,-1,87.8571,-1,3,25.5,-1,1,-1,73.8571,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,2,46,-1,1,-1,76.1429,-1,
3,45.6667,-1,0,-1,52,-1,1,43,-1,0,-1,87.7143,-1,1,41,-1,0,-1,87.8571,-1,2,43,-1,0,-1,63.4286,-1,1,45,-1,0,-1,87.8571,-1,3,25.5,-1,0,-1,73.8571,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,3,25,-1,1,-1,74,-1,
3,45.6667,-1,0,-1,52,-1,2,4,-1,1,-1,85.7143,-1,1,41,-1,0,-1,87.8571,-1,2,43,-1,0,-1,63.4286,-1,2,4,-1,1,-1,85.7143,-1,4,32.6667,-1,1,-1,50.1429,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,4,32.3333,-1,1,-1,50.2857,-1,
4,34,-1,1,-1,48.5714,-1,2,4,-1,0,-1,85.7143,-1,2,10,-1,1,-1,86.2857,-1,3,24.5,-1,1,-1,59.7143,-1,3,24.5,-1,1,-1,61.7143,-1,5,22.3333,-1,1,-1,48.8571,-1,1,41,-1,1,-1,75.4286,-1,0,-nan(ind),-1,0,-1,100,-1,0,-nan(ind),-1,0,-1,100,-1,4,32.3333,-1,0,-1,50.2857,-1,
